ArcMap_ID,Continent,Study Area,Protected Area,Main Prey ,Prey Density (per km 2),Season,Mean Pack Size,Uncertainty,Max Pack Size,Sample Size (n),Years,Wolf Density (per 1000 km2),Method,Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Eurasia,"Apennines, IT",,,,winter,3.7,1.2,,9,,,SNT,Ciucci and Boitani 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Eurasia,"Apennines, IT",?,Roe Deer,12.3,winter (Nov.–Apr.),3.8,1.1,7,19,1993-2000,47,DO/EH/SNT,Apollonio et al. 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Eurasia,"Apennines, IT - Northern Italy",?,Roe Deer,,year round,5.6,2.4,11,76,2000-2009,17.3,NIG,Caniglia et al. 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Eurasia,Bialowieza - Polish side,Y,Elk,1.06,winter,3.8,(2.7–5.0),,29,1993-1996,23,DO/EH/RT/SNT,Okarma et al. 1998; Jedrzejewski et al. 2000 (prey density),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Eurasia,"Bialowieza, PL",Y,Elk,1.06,winter,5.3,1.8,8,31,1991-1996,25,DO/RT/SNT,Jedrzejewski et al. 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Eurasia,"Bialowieza, PL-BY",Y,Elk,1.06,winter,4.4,1,7,16,1996-1999,25,DO/EH/RT/SNT,Jedrzejewski et al. 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Eurasia,"Bialowieza, PL-BY",Y,Elk,1.06,winter (Jan.–Mar.),4.6, ± 1.0,8,11,1994-1999,25,RT/SNT,Jedrzejewski et al. 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Eurasia,"Bieszczady, PL",Y,Elk,4,winter (Apr.),3.9,,10,20,1991-1995,33,SNT,Smietana and Wadja 1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Eurasia,Bulgaria,N,Roe Deer,,winter (Mar.),2.7,,,159,2000-2008,,Misc/Q,Genov et al. 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Eurasia,Estonia,N,Roe Deer,,winter  (Feb.),2.1,,6,154,1977-1999,,Q,Valdmann et al.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Eurasia,Israel,Y,Human foods,,year round,3.2,2.4,5,139,1991-1995,,DO/RT,Hefner and Geffen 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Eurasia,Poland - Carpathian Mnts,?,Roe Deer,,winter,4,0.3,7,25,1996-2003,16,DO/SNT,Nowak et al. 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Eurasia,Scandinavia,N,Moose,2,winter,6.3,1.6,8,21,1978-1997,0.0008,DO/SNT,Wabakken et al. 2001; Lavsund et al. 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Eurasia,Scandinavia,N,Moose,1.35,winter (Nov.–Apr.),4.1,0.61,,14,2001-2008,2.9,DO/RT/SNT,Sand et al. 2012; Lavsund et al. 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Eurasia,Spain - Northern,?,,,winter (Apr.),3.8,,9,160,2000-2018,,DO/SNT,Fernandez et al. 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,North America,Alaska - Denali Park,Y,Moose,0.2,winter,8.9,,29,91,1986-1994,,,Mech et al. 1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,North America,Alaska - Northwestern ,N,Caribou,0.16,winter,8.6,,24,34,1987-1992,3,RT,Ballard et al. 1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,North America,Alaska - South-central ,N,Moose,0.67,winter,7.5,,20,59,1975-1982,6,,Ballard et al. 1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,North America,"Alaska, US - Gates of the Arctic National Park",Y,Caribou,0.06-2.34,winter,9.2,3.2,15,12,1989-1990,7.4,DO/RT/SNT,Dale et al. 1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,North America,"Alaska, US - Gates of the Arctic National Park",Y,Caribou,0.06-2.34,late winter  (mid Apr.),5.2,3,16,72,1987-1991,4.5,DO/RT/SNT,Adams et al. 2008; Table 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,North America,Alberta - Jasper National Park,Y,Elk,,winter,11.5,,14,4,1969-1972,,,Carbyn 1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,North America,Alberta - Northeastern - Swan Hills,N,Moose,2.1,winter,6.5,,7,2,1975-1978,12.0,RT,Fuller and Keith 1980a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,North America,Alberta - Northeastern -AOSERP,N,Moose,0.26,winter,6.9,,10,4,1975-1978,6.6,RT,Fuller and Keith 1980a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North America,Alberta - Northern ,,Bison,,winter,8.4,,14,20,,,,Carbyn et al. 1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North America,Alberta - Northwestern ,,Moose,,winter,6.0,,12,22,,,,Bjorge and Gunson 1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,North America,"Alberta, CA - Westcentral",?,Moose,0.12-0.25,winter (Feb.–Mar.),8.6,3.2,18,8,2000-2001,12,DO/RT,Kuzyk et al. 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,North America,"British Columbia, CA - Kechika",N,Moose,0.58,late winter,6.4,0.3,,8,1984-1987,20.9,SNT,Bergerud and Elliot 1998 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,North America,"British Columbia, CA - Muskwa",N,Moose,0.77,late winter,4.4,0.2,,13,1984-1988,18.7,SNT,Bergerud and Elliot 1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,North America,"Glacier National Park, MT, BC",Y,Elk,,winter,10.7,,19,38,1982-1996,,RT,Boyd and Pletscher 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,North America,"Idaho, US",N,Elk,,winter (year end),7.5,,,44,2009-2010,10.7,Misc/RT,Ausband et al. 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,North America,"Isle Royale, Michigan",Y,Moose,2.5,winter,6.2,,22,46,1959-1972,,,"Mech 1966b; Jordan et al. 1967; Peterson 1977; R. 0. Peterson, personal communication (1959-1972)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,North America,"Isle Royale, Michigan",Y,Moose,1,winter,7.8,,18,37,1973-1979,74.3,,Peterson 1977; Peterson and Page 1988 (1973-1980),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,North America,"Isle Royale, Michigan",Y,Moose,1.2,winter,3.9,,,21,1980-1982,57.6,,Peterson and Page 1988 (1980-1982),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,North America,"Isle Royale, Michigan",Y,Moose,2.5,winter,4.4,,11,39,1983-1994,29.9,,"Peterson and Page 1988; Peterson et al. 1998; R. 0. Peterson, personal communication (1983-1994)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,North America,"Isle Royale, Michigan",Y,Moose,1.9,winter,6.3,0.34,,,1997-2007,41.5,RT,Sand et al. 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,North America,"Kenai Peninsula, Alaska",?,Moose,0.8,winter,9.8,,29,32,1976-1981,11,RT,"Peterson, Woolington, and Bailey 1984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North America,Manitoba - Southwestern ,,Elk,,winter,8.4,,16,13,,,,Carbyn 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,North America,Minnesota - Northcentral ,N,White-tailed Deer,6,winter,6.7,,12,33,1982-1986,32.8,RT,Fuller 1989b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North America,Minnesota - North-central ,N,White-tailed Deer,6,winter,6.0,,8,4,,,,Berg and Kuehn 1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,North America,Minnesota - Northeast,Y,White-tailed Deer,2.1,late winter,7,,15,,1970-1973,23,RT/Flights,Mech 1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,North America,Minnesota - Northeastern,Y,White-tailed Deer,5.1,winter,6.5,,11,,1967-1970,38.5,RT,Mech 1986; Van Ballenberghe et al. 1975; Mech and Karns 1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,North America,Minnesota - Northeastern,Y,White-tailed Deer,5.1,winter,6.2,,15,,1971-1975,42.35,RT,Mech 1986; Van Ballenberghe et al. 1975; Mech and Karns 1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,North America,Minnesota - Northeastern,Y,White-tailed Deer,5.1,winter,5.2,,12,,1976-1984,,RT,Mech 1986; Van Ballenberghe et al. 1975; Mech and Karns 1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,North America,Minnesota - Northwestern - Beltrami,Y,White-tailed Deer,5,winter,4.3,,9,24,,13,RT,Fritts and Mech 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,North America,Minnesota - Voyageurs Park,Y,White-tailed Deer,4.7,winter,5.5,,11,23,1987-1997,33,RT/DO,Gogan et al. 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,North America,Ontario - Pukaskwa Park,Y,Moose,0.3,winter,3.8,,7,39,1975-1979,12,Flights/DO,Bergerud et al. 1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,North America,"Ontario, CA - Algonquin",Y,White-tailed Deer,5.8,winter,5.9,,9,54,,,,Pimlott et al. 1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,North America,"Ontario, CA - Algonquin",Y,White-tailed Deer,,winter,6.0,,13,44,,,,Forbes and Theberge 1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,North America,"Ontario, CA - Algonquin",Y,White-tailed Deer,,winter (Feb.),4.2,1.5,6,14,2002-2003,24,DO/RT/SNT,Patterson et al. 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,North America,"Ontario, CA - Central",Y,Moose,0.35,winter,4.3,2.4,,42,2010-2013,4.1,DO/RT/SNT,Kittle et al 2015;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,North America,Quebec - Southern,Y,White-tailed Deer,3,winter,5.6,,10,19,1980-1984,15,Misc. ,Potvin 1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,North America,Quebec - Southwestern ,N,Moose,0.23,winter,3.7,,6,16,1981-1984,8,DO,"Messier 1985a,b (low prey area)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,North America,Quebec - Southwestern ,N,Moose,0.37,winter,5.7,,8,11,1981-1984,14,DO,"Messier 1985a,b (high prey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,North America,"Wisconsin, US",Y,White-tailed Deer,,winter,3.9,,12,,1980-1989,15.5,RT/SNT,Wydeven et al. 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,North America,"Wisconsin, US",Y,White-tailed Deer,,winter,3.3,,10,,1990-1999,18.9,RT/SNT,Wydeven et al. 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,North America,"Wisconsin, US",Y,White-tailed Deer,,winter,3.6,,12,,2000-2007,28.5,RT/SNT,Wydeven et al. 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,North America,Yellowstone,Y,Elk,,winter,10.7,5.9,37,,1997-2007,15,RT/DO,Smith et al. 2020; colonation phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,North America,Yellowstone,Y,Elk,,winter,8.5,4.9,25,,2007-2020,11.1,RT/DO,Smith et al. 2020; saturation phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,North America,Yukon - East-central ,N,Moose,*in appendix?*,winter,6.8,,20,146,1990-1994,11,RT/SNT,Hayes and Harestad 2000b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North America,Yukon - West-central,N,Sheep,,winter,4.6,,8,5,,,,Sumanik 1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,North America,"Yukon, CA - Mayo",N,Moose,0.14,winter (Jan.–Mar.),6.1,0.8,,15,1995-1996,4.6,DO/RT/SNT,Hayes et al. 2003; Table 5; only used control studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
